posttyp;periodtyp;år;månad;datum;besöksmål;besökstyp;vuxen;barn;student;pensionär;medlem;rabatt;fri_vuxen;skola;skola_barn;konferens;grupp;total;belopp;intäktstyp;kommun;skolnivå;gruppkategori;betalkategori;betald;dagsrapport;notering
skolbesök;månad;2019;Nov;;kulturenilund;vbesok;;;;;;;;58;ja;;;;;;Sjöbo;Förskola;;nej;;;
skolbesök;månad;2019;Dec;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2019;Dec;;kulturenilund;vbesok;;;;;;;;148;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Jan;;kulturenilund;vbesok;;;;;;;;120;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Jan;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Feb;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Landskrona;Förskola;;nej;;;
skolbesök;månad;2020;Feb;;kulturenilund;vbesok;;;;;;;;330;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Feb;;kulturenilund;vbesok;;;;;;;;18;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Mar;;kulturenilund;vbesok;;;;;;;;225;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Apr;;kulturenilund;vbesok;;;;;;;;113;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Maj;;kulturenilund;vbesok;;;;;;;;176;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Maj;;kulturenilund;vbesok;;;;;;;;23;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Jun;;kulturenilund;vbesok;;;;;;;;165;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Jul;;kulturenilund;vbesok;;;;;;;;63;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Aug;;kulturenilund;vbesok;;;;;;;;16;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Sep;;kulturenilund;vbesok;;;;;;;;143;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Okt;;kulturenilund;vbesok;;;;;;;;175;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Okt;;kulturenilund;vbesok;;;;;;;;10;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Nov;;kulturenilund;vbesok;;;;;;;;123;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2020;Nov;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2020;Dec;;kulturenilund;vbesok;;;;;;;;47;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Jan;;kulturenilund;vbesok;;;;;;;;36;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Feb;;kulturenilund;vbesok;;;;;;;;59;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Mar;;kulturenilund;vbesok;;;;;;;;41;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Apr;;kulturenilund;vbesok;;;;;;;;139;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Maj;;kulturenilund;vbesok;;;;;;;;111;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Maj;;kulturenilund;vbesok;;;;;;;;15;ja;;;;;;Svedala;Förskola;;nej;;;
skolbesök;månad;2021;Jun;;kulturenilund;vbesok;;;;;;;;137;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Jul;;kulturenilund;vbesok;;;;;;;;52;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Aug;;kulturenilund;vbesok;;;;;;;;8;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Sep;;kulturenilund;vbesok;;;;;;;;181;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Sep;;kulturenilund;vbesok;;;;;;;;24;ja;;;;;;Vellinge;Förskola;;nej;;;
skolbesök;månad;2021;Okt;;kulturenilund;vbesok;;;;;;;;75;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Nov;;kulturenilund;vbesok;;;;;;;;34;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2021;Dec;;kulturenilund;vbesok;;;;;;;;148;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Jan;;kulturenilund;vbesok;;;;;;;;9;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Feb;;kulturenilund;vbesok;;;;;;;;8;ja;;;;;;Kristianstad;Förskola;;nej;;;
skolbesök;månad;2022;Feb;;kulturenilund;vbesok;;;;;;;;95;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Feb;;kulturenilund;vbesok;;;;;;;;1;ja;;;;;;Sjöbo;Förskola;;nej;;;
skolbesök;månad;2022;Mar;;kulturenilund;vbesok;;;;;;;;278;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Apr;;kulturenilund;vbesok;;;;;;;;19;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2022;Apr;;kulturenilund;vbesok;;;;;;;;19;ja;;;;;;Lomma;Förskola;;nej;;;
skolbesök;månad;2022;Apr;;kulturenilund;vbesok;;;;;;;;314;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Apr;;kulturenilund;vbesok;;;;;;;;50;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2022;Maj;;kulturenilund;vbesok;;;;;;;;19;ja;;;;;;Hässleholm;Förskola;;nej;;;
skolbesök;månad;2022;Maj;;kulturenilund;vbesok;;;;;;;;26;ja;;;;;;Kävlinge;Förskola;;nej;;;
skolbesök;månad;2022;Maj;;kulturenilund;vbesok;;;;;;;;186;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Maj;;kulturenilund;vbesok;;;;;;;;63;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2022;Maj;;kulturenilund;vbesok;;;;;;;;25;ja;;;;;;Skurup;Förskola;;nej;;;
skolbesök;månad;2022;Jun;;kulturenilund;vbesok;;;;;;;;10;ja;;;;;;Eslöv;Förskola;;nej;;;
skolbesök;månad;2022;Jun;;kulturenilund;vbesok;;;;;;;;11;ja;;;;;;Hässleholm;Förskola;;nej;;;
skolbesök;månad;2022;Jun;;kulturenilund;vbesok;;;;;;;;163;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Jun;;kulturenilund;vbesok;;;;;;;;66;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2022;Jun;;kulturenilund;vbesok;;;;;;;;25;ja;;;;;;Trelleborg;Förskola;;nej;;;
skolbesök;månad;2022;Jul;;kulturenilund;vbesok;;;;;;;;53;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Jul;;kulturenilund;vbesok;;;;;;;;27;ja;;;;;;Malmö;Förskola;;nej;;;
skolbesök;månad;2022;Aug;;kulturenilund;vbesok;;;;;;;;8;ja;;;;;;Lund;Förskola;;nej;;;
skolbesök;månad;2022;Aug;;kulturenilund;vbesok;;;;;;;;10;ja;;;;;;Malmö;Förskola;;nej;;;
