datum;dagsrapport
2026-05-01;En somrigt varm dag på Kulturen! 11.30 hade Ola visning av Lützen-dioramat, det kom 9 vuxna och 4 barn besökare till det. 13.00 hade Jessica visning av Friluftsmuseet, det kom 3 besökare. Studentsångarna hade abonnerat restaurangen och de underhöll stundvis med skönsång! 
2026-04-30;Solig valborg! Från Spyken kom en grupp på 14 elever och 1 lärare besökte 2 tjugotal och Modernismen på egen hand. Stenröseskolan lekte i Madicken, de var 6 barn och 7 lärare. Ola hade en visning på engelska i Metropolis för 27 elever och 5 lärare från International School of Lund. Realgymnasiet gick på egen hand runt i Uppklädd, de var 21 elever och 2 lärare. Ola hade även en allmän visning av friluftsmuseet men där uteblev besökarna. Till visning av dioramat-slaget vid Lützen kom 6 vuxna och 2 barn.
2026-04-29;Ett bokat studiebesök av Movant AB, inklusive fika och 2 visningar, under förmiddagen, Lena, Fredrik och Olof var guider, ca 19 st. Kyrkans Förskola Stjärnan besökte Madicken vid öppning, de var idag 16 barn och 4 vuxna. En tysk skolklass kom på ett spontant besök för att gå själva på området, de var 8 elever och 2 lärare. Trelleborgs kommun besökte museet på egen hand där de flesta av besökarna var rullstolsbundna, de var totalt 18 st. Ola höll en engelsk visning för Hotel- og Restaurantskolen som hade kommit över från Danmark, de var totalt 18 st. Karin Hi höll onsdagsvisning som idag var 2 tjugotal där 8 st var med!
2026-04-28;Lunds universitet hade bokat auditoriet, verkstaden samt några rum i kaféet och Dekanhuset för möte, de var runt 120 personer. Tora Vega folkhögskola gick runt på egen hand, 40 personer. Monika hade en allmän visning på engelska för Skanör Falsterbo Montessoriskola som hade besök från Barcelona, de var 24 personer. En seniorgrupp från Köpenhamn gick runt med guide, de var 37 personer. Från The World Maritime University kom 35 personer som besökte museet på egen hand. Svartsmide i smedjan under kvällen, 6 personer.
2026-04-26;Ola visade Västra Vrams prästgård för 7 personer och Emma skulle hålla en Introduktion till Friluftsmuseet men det kom ingen idag. Svartsmide under eftermiddagen med 6 personer. AHa! Guide & Aktivitet besökte med 38 personer för att gå runt på egen hand.
2026-04-25;Skattjaktskalas under dagen med många glada barn. Till Emmas visning som handlade om Tvätt, toalett, sjukdom och onda andar kom det 2 pers och till Olas kom berättade om Arbetarbostaden kom det 6 personer. Drop-in pyssel i Verkstan med Emma, det kom 15 barn och 13 vuxna.
2026-04-24;Gymnasieskolan Spyken gick en engelsk visning av Friluftsmuseet med Ola under morgonen då de hade irländska studenter på besök, de var 27 elever och 4 lärare. Vårfruskolan ÅK6 gick själva på friluftsmuseet och var idag 16 elever och 2 lärare. Avtackning i Hornsbergsalen för Mats Roslund 60 pers.
2026-04-23;Delfinskolans ÅK1 kom med KKL under morgonen för att leka i Madicken och gå på Häcken Full, de var 19 barn och 3 lärare. Efter öppning kom International School of Lund för att leka i Madicken, de var idag 26 barn och 4 lärare. Olle höll visning i Fokus Sápmi för Lunds Waldorfskolas ÅK4, de var 14 elever och 3 lärare. Ute i verkstaden hölls det under eftermiddagen uppdatering av Kulturen Körkort.  Föreningen Gamla Lund höll eget föredrag i auditoriet med Mats Roslund, ca: 150 i publiken. Ola hade en visning av ljus och mörker på museet för 2 vuxna samt 1 barn. Smideskurs i smedjan, 6 personer.
2026-04-22;Lite lugnare och solig dag med en del franska turister som kommit på skollovs-besök. Skrylleängsskolan åk 3 kom 28 elever och 3 lärare för att besöka Madicken och luncha i Arkitekternas hus. Vipan kom 26 elever och 5 lärare för att gå omkring själva på museet. Sen skulle Mats gen en onsdagsvisning av En annan värld men tyvärr dök inga deltagare upp. Dagen avslutades med kurs i smedjan för 6 pers. 2 nya medlemmar idag.    
2026-04-21;Filminspelning i Arbetarbostaden. Många besök av skolor idag. Rönneholms förskola i Malmö kom med 22 barn, LU Inst. för Arkeologi 19 personer som gick på egen hand. Östraby skola från Hörby kom 17 pers. Alfredshällsskolan kom två klasser med 26 pers i varje klass.  Till Mattias föredrag "Brott och Straff" kom det 30 personer. Kvällssmide i smedjan.
2026-04-19;Lite lugnare dag än igår med lite regn-ruggigt väder. LitteraLund ställde ut med i trädgårdsrummet med författarmingel, barn/ungdomsböcker och pyssel. Till pysslet kom det 16 barn och 15 vuxna samt till eventet i övrigt ca 40 besökare. Hemslöjdens yllebroderikurs i Hornsbergssalen fortsatte idag med 10 deltagare och 1 ledare. Sen höll Ola i en visning med Lützen-diorama för 12 pers. Vi värvade också 12 nya medlemmar idag!
2026-04-18;Intensiv dag med besökare, folkdansare och mycket folk i rörelse. Dansuppvisning i auditoriet med folkdanser från Transylvanien med en publik på 100 pers. Hemslöjden hade helgkurs i yllebroderi i Hornsbergssalen för 10 deltagare och 1 ledare. Ola höll i en visning av Borgarhuset för 6 pers. Katja höll i pyssel och pyntade tändsticksaskar med snäckor, 31 barn och 26 vuxna deltog. Det kom 1 pers från Lunds Universitetsbiblioteks "Sustainability Staff week" som gick själv runt på museet.  För övrigt hade vi två privatvisningar idag; en allmän visning av museet med Monica för Advokatfirman Nordicum AB för 5 pers och Karin H visade dräktmod för 22 textilhistoriska forskare som hade konferens på LUX. 8 nya medlemmar idag. 
2026-04-17;En fredag med strålande sol! Dagen började med att en anpassad skola från Löddeköpinge kom hit, de var 6 elever och 3 pedagoger. 5 anställda från Helsingborgs bibliotek kom hit och gick på egen hand. Montessori Mondial gick själva kl 12.30, de var 17 elever och 2 pedagoger. Apelrydskolan från Båstad kom hit spontant, 13 elever och 1 lärare. Klockan 13.30 kom Katedralskolan hit för att få en visning av Dekanhuset och Borgarhuset av Ola, de blev 24 personer. 
2026-04-16;Torsdag på Kulturen! Delfinskolans ÅK1 med KKL besökte Madicken och Häcken Full under morgonen, 16 barn och 3 lärare. Tomegårdens Montessoriförskola var och lekte på lekplatsen, de var 15 barn och 3 vuxna. En stor grupp från Lerbäckskolans ÅK0 lekte på lekplatsen och gick själva på friluftsmuseet i mindre grupper, de var 75 barn och 10 vuxna. Efter lunch hölls det uppdatering av Kulturens Körkort ute i verkstaden och i friluftsmuseet, 10 st. På eftermiddagen kom en fransk skolklass med högstadieelever på ett spontanbesök, de gick själva runt på friluftsmuseet och var 12 elever och 2 lärare. Ola höll i en Vapen makt över liv-visning för privat person som bokat födelsedagsöverraskning, de blev 12 pers. Sen hade Gamla Lund årsmöte i Auditoriet dit det kom 62 pers. Ola höll i ytterligare en visning, Modernismen, denna för 5 pers. Kvällen avslutades med smideskurs för 6 pers. 
