datum;dagsrapport
2024-08-21;En regnig förmiddag onsdag.10:15 - Sophiaskolan Österlens Waldorfskolan, årskurs 9, 24 elever, 2 lärare. Missuppfattning i bokning då Annika var beredd att hålla en introduktion till friluftsmuseet samtidigt som klassföreståndaren trodde att han hade bokat en visning till 2Tjugotal. Gustav tog därför en spontan visning inför klassen. Johanna höll i onsdagsvisning kl 14, Rik på landet, rik i stan,  3 deltagare. Besök från Tora Vega Folkhögskola kl 14, besökte En Stund i Lund, 3 personer, gick själva. Stiftelsen Bilingual Montessori School of Lund var här, årskurs 7, gick runt själva, 22 elever 2 lärare. En grupp från "Museum of Jewish Heritage" i New York kom 19 personer som först började med fika i kaféet, därefter visade Annika utställningen "Att överleva" och Nina berättade om vårt arkiv och arbete med vår samling. Under kvällen hade Monika en grupp från Alfa Laval Nordic AB som tävlade i föremålskunskap på engelska, 34 personer.
2024-08-20;En fin och solig tisdag! Mestadels turister som besökte museet idag. Stiftelsen Bilingual Montessori School of Lund var här, årskurs 7, gick runt själva, 23 elever 2 lärare. 
2024-08-19;Idag var det en solig och varm måndag. På besök kom Tomegårdens Montessoriförskola för att leka på lekplatsen, de var 14 st.
2024-08-18;En solig söndag med mycket turister! Bra flöde i entrén. Inget intresse idag för Gustavs två visningar kl 11 (SV) resp. kl 13 (ENG). Monica kom med fem stycken turister från Tyskland, fri entré.
2024-08-17;Lördag. Mestadels turister idag! Gustav hade visning kl 11, "Hygien och hälsa", 1 besökare deltog. Till Gustavs andra visning, "Introduction to the open-air museum", deltog 8 vuxna och 2 barn. Hanna höll i dagens pyssel där 15 barn och 14 vuxna deltog.
2024-08-16;Under fredagen hade vi två SFI-klasser från Komvux, Lund, de gick själva runt på museet och var totalt 22 st. De kom 2 deltagare från XRM som fick gå in för billigare pris. Gymnasieskolan hade bokat två visningar med Johanna och Annika i Friluftsmuseet, de var 62 st. Sedan gick Spyken själva till 2 tjugotal och En annan värld, då var de totalt 33 st.
2024-08-15;Svettig dag, flöde med folk under hela dagen. Bra souvenir försäljning, många turister stannade kvar i butiken efter sitt museumbesök. Deltagarna på konferensen XRM hade fortsatt erbjudande med rabatt på inträdet, 3 personer kom idag. Gustav hade visning av 2 20-tal för 3 pers.  
2024-08-14;Strålande varm dag med främst franska och tyska turister. Inga programpunkter bokade utan endast en notering om att deltagarna på Konferensen XRM i Stadshuset skulle komma in för reducerat pris. 4 pers från konferensen kom. Västerskolans Fritids kom 21 pers för att gå själva. 
2024-08-13;En varm och solig tisdag med en del besökare och bra försäljning i butiken. Under förmiddagen hade vi en förskola på besök från Montessori - Barnens hus, de lekte på lekplatsen och var 25 barn samt 5 vuxna. 
2024-08-12;Ganska lugnt idag, märks att sommarlov och semestrar börjar ta slut. Besök från Sfi i Malmö 25 pers. Även två grupper från svenska kyrkan, blandade åldrar. 
2024-08-11;Inga programpunkter idag. Många turister, många fransmän..... Mycket beröm till museet, "bättre än Skansen" menade ett par europeiska guider...
2024-08-10;Drop-in pyssel i Verkstan med Siri, det kom 11 vuxna och 13 barn.(Väldigt många toabesökare idag.)
2024-08-09;Fredagen var lugn med regnigt väder. En grupp på sex pers. från LTH gick in gratis på området och filmade. Under dagen hade vi inte något program men på kvällen var sommarteatern i parken.
2024-08-08;Montessoriförskolan Lilla Kuben besökte museet på egen hand, de var 4 barn och 2 vuxna. Det fans dessvärre inget intresse för visningen av 2Tjugotal, så det blev en visning av Friluftsmuseet med Gustav för några glatt överraskade internationella turister, de blev 4 personer.
2024-08-07;Malmö Opera och Musikteatern Ab besökte oss för en visning av 2Tjugotal med Gustav vid 2 tillfällen.  Total 35 personer. Pingvinen Förskola besökte oss med 14 personer föra att leka på lekplatsen.
2024-08-06;Inga programpunkter under dagen. Fint väder och stor del av besökarna var från andra länder.
2024-08-05;Många glada besökare idag! Fint väder.
2024-08-04;En söndag med varierat väder med sol, åska och regn, snäppet färre besökare än gårdagen. Inget intresse för Gustavs första visning kl 11 om 2 tjugotal. Andra visningen kl 13 med Gustav (introduktion till friluftsmuseet ENG) kom däremot 5 st. 
2024-08-03;En bra lördag med mycket folk, framförallt familjer. Stabilt flöde i entrén hela dagen. Gustav hade två visningar, kl 11 en introduktion till museet på engelska, 9 vuxna 2 barn deltog. Andra visningen kl 13, hygien och hälsa, deltog 10 vuxna. Besök av två anställda från Sofiero slott, fri entré. Sommarteater kl 18. 
2024-08-02;Idag var det en solig och varm dag.  Det var en bokning, vilket var att Gustav hade en visning för två personer. Resten av dagen var programfri, men vi hade gott om besökare till Kulturen. På kvällen spelades Nattväktarnas hemlighet. 
2024-08-01;Gustav hade en visning av 2 tjugotal under kvällen och ingen var tyvärr intresserad av den ikväll. Utställningen fick dock mycket beröm av några besökare!
2024-07-31;En solig dag på kulturen! En jämn ström med besökare under hela dagen, men ingen större rush.
2024-07-30;Mycket folk på Kulturen idag! Många turister som ville besöka friluftsmuseet under dagen. Tunaskolan åk 1-3 var på besök för att gå själva på museet, de var 5 vuxna och 4 barn. 
2024-07-29;Mycket turister på Kulturen idag, från bl. a. Danmark, Tyskland, USA, Spanien och Frankrike. Inga programpunkter.
2024-07-28;Tyvärr fanns det inget intresse för någon av Olas visningar idag. Men det blev fint & soligt väder och många glada besökare.
2024-07-27;Ola hade 2 visningar idag:Friluftsmuseet: 4 personer. Friluftsmuseet: 5 personer.
2024-07-26;Dagens Historiska Uppdrag drog 24 barn och 17 vuxna till första omgången, 4 barn och 5 vuxna till andra. Kulturen hade även ett influencerbesök från Malmö som besökte Lund via Visit Lund, hon hade fri entré.
2024-07-25;Till Historiska uppdraget kl 13 kom 21 barn och 16 vuxna. Till kl 14.30 kom 23 barn och 19 vuxna. Ola skulle hålla en  "Introduktion till Friluftsmuseet" på engelska denna soliga afton, men tyvärr fanns det inget intresse.
2024-07-24;Bra med besökare idag. Till dagens historiska uppdrag kl 13 kom 18 barn samt 16 vuxna. Och till kl 14:30 kom 17 barn samt 9 vuxna.
2024-07-23;Historiska uppdrag:13:00: 17 vuxna och 26 barn14:30: 21 vuxna och 15 barn
2024-07-22;Regnig dag på Kulturen. Inga programpunkter men mycket turister som trotsade vädret ändå. 
2024-07-21;Även i idag har det varit varmt och soligt! Till Gustavs intro till friluftsmuseet kom 13 personer. Och till 2 tjugutal kom 3 personer. Gudstjänst med Lunds kristna råd i Bosebo kyrka med 17 deltagare.
2024-07-20;En varm solig lördag, hyfsat lugn. Gustav hade två visningar, först ut var "Hygien och hälsa" där 16 personer kom. Till den andra visningen som var en introduktion på engelska blev på svenska istället där två personer kom.
2024-07-19;Strålande sol! Från Skåne Stadsmission kom 17 vuxna och 20 barn som gick runt på egen hand. 1 elev och 1 lärare från en anpassad skola i Dalby gick också runt på egen hand. Historiska uppdraget kl 13 lockade 13 barn och 11 vuxna, kl 14.30 kom 9 barn och 10 vuxna.
2024-07-18;Hjärups, Trädgårdslundens förskola kom 16 pers för att gå på lekutställningen. Historiska uppdrag kl 13 kom 29 barn samt 22 vuxna och kl 14.30 kom 19 barn samt 14 vuxna. Introduktion till Friluftsmuseet med Gustav, 2 personer.
2024-07-17;Dagen började med regn som sen sprack upp till sol och avlutades med en liten skur igen. Främst tyska turister idag och en del medlemmar. Gunnesboskolan kom och besökte lekutställningen med 17 pers. Tidsresorna hade 15 vuxna och 9 barn som deltog i 13.00 visningen samt 16 vuxna och  12 barn i 14.30 visningen. Kvällen avslutades med Sommarteater Nattväktarnas hemligheter efter stängnings tid. 
2024-07-16;Historiska uppdrag!Kl 13.00 – 17 vuxna, 17 barn. Kl 14.30 – 31 vuxna, 28 barn. Allmänt bra drag idag, är känslan!
2024-07-15;Idag har vi inte haft några programpunkter men det har varit mestadels soligt väder vilket lockade många besökare till oss. Två personer från Nyvångskolan gick runt på egen hand. Vi hade också besök av Influencern "Sandra Lindsjö" som besökte museet med sin familj.
2024-07-14;Ola hade en visning av Västra Vrams prästgård för 10 personer. Jessica skulle visa Friluftsmuseet på engelska men det fanns inget intresse för det denna dag.
2024-07-13;Jessica visade friluftsmuseet på engelska för 5 vuxna och 1 barn. Ola visade 2Tjugotal för 5 personer. Orgelkonsert i Bosebo Kyrka med Carolyn Craig, det kom 60 personer.
2024-07-12;Idag har vi haft besök av Kobjers förskolan 4 pers, Tomegården förskola 7 pers. Olle hade drop in-pyssel; 12 barn och 7 vuxna!Lekfulla tidsresor kl 13.00: 53 personer, varav 13 barnkl 14.30: 40 personer varav 15 barn
2024-07-11;Hyllie SFI besökte oss för att gå runt på egen hand med 30 personer. Lunds kommun var här för att gå runt på egen hand med 5 personer. Drop-in pyssel med Olle: 19 barn och 16 vuxna. Lekfulla Tidsresor:Föreställning 1: 32 vuxna och 13 barn. Föreställning 2:  inställd pga regn. De kom tyvärr ingen till visningen av Thomanderska huset visning med Jessica.
2024-07-10;Drop in pyssel med Olle för 21 barn och 19 vuxna. Första föreställningen av Tidsresan blev tyvärr inställd i sista minuten pga av regn. Till andra tidsresan som blev av kom det 27 vuxna samt 13 barn.
2024-07-09;Aktiv dag med konstant rörelse av besökare i butik och på museet. Besökare från Quatar och Indien som kom i större familjesällskap och köpte en del gåvor i museibutiken.  Morgonpyssel med Olle där det gjordes sjöhästar, 8 barn och 7 vuxna deltog. Succé med många som ville delta på Tidsresorna, till föreställningen kl 13 kom 60 pers och till kl 14:30 kom 48 personer. Synneve höll i tvål-workshop på Hökeriet som var fullbokad med 10 pers.  
2024-07-08;Jämnt flöde med folk under hela dagen. Inga specifika programpunkter. 
2024-07-07;Söndagen bjöd på klart till halvklart väder och 19 grader varmt. Till museum hade vi mycket med besökare! Jessica hade en visning av Metropolis där 5 vuxna och 1 barn deltog. Gustav hade en introduktion till friluftsmuseet på engelska, till den kom 11 vuxna och 5 barn. Till Gudstjänsten i Bosebo kyrka kom 20 personer.
2024-07-06;Lördagen bjöd på halvklart väder med 23 grader. Gustav hade en Introduktion till friluftsmuseet, till den visningen kom 4 st. vuxna. Jessika hade en visning om Människorna i husen, till den kom 6 barn och 6 vuxna. Till orgelkonserten i Bosebo kyrka kom 44 vuxna samt 4 barn.
2024-07-05;Idag var vädret varierat med regn och sol, 17 grader. På förmiddagen hade vi Stafflimålning med Olle, till det kom 15 barn och 12 vuxna. Sedan på eftermiddagen var det Lekfulla tidsresor, till kl 13.00 kom 12 personer varav 2 barn, till kl. 14.30 kom 30 personer, varav 12 barn.
2024-07-04;Regnig dag där båda föreställningarna av Tidsresorna tyvärr fick ställas in. En Montessoriförskola kom med 17 pers och en annan Montessori förskola, Tomegården, kom med 5 pers. Förskolan Kobjer kom 10 pers och Västerskolans Fritids kom 17 pers. Till Stafflimålningen i parken på förmiddagen kom det 23 barns och tolv vuxna. Gustav hade visningen "Hygien och Hälsa, det kom 1 personer. Synneve hade Tvål-workshop i Hökeriet med 7 personer.
2024-07-03;En liten grupp från en förskola på Kobjer gick till lekplatsen, 8 barn och 2 lärare. Även en grupp från Vårfruskolan gick till lekplatsen, 17 barn och 4 lärare. 10 personer från en folkhögskola i Malmö gick till friluftsmuseet. Till dagens stafflimålning i parken med Olle kom 14 barn och 10 vuxna. Lekfulla tidsresor kl 13 drog 23 barn samt 19 vuxna. Kl 14.30 kom 15 barn samt 32 vuxna.
2024-07-02;Skola från Tyskland besökte oss med 21 personer för att gå runt på egen hand. Stafflimåleri för barn i parken: 18 barn och 16 vuxna Lekfulla Tidsresor: Föreställning 1: 42 personer, varav 22 barn, regnigt ca 17 graderFöreställning 2: 35 personer, varav 12 barn
2024-07-01;Solig dag med jämnt flöde av besökare framför allt mitt på dagen och eftermiddagen. Många svenska turister och en del fransk- och portugisisktalande turister. Inga programpunkter idag. 
2024-06-30;En regnig och kall dag, men ändå mycket folk! Ola och Jessica skulle haft varsin visning, dock dök ingen upp. 13.30 hade vi ett barnkalas i Dekanhuset. 
2024-06-29;Solig dag på Kulturen! Föreningen Norden i Eslöv var och besökte museet på egen hand, de var 40 st. Ola skulle hålla visning av Västra Vrams Prästgård på förmiddagen, men inga dök tyvärr upp. Ola hade efter lunch en visning av Friluftsmuseet, 6 pers deltog. Kl 16.00 var det orgelkonsert i Bosebo kyrka där Hans Nordenborg var organist, 50 pers deltog.
2024-06-28;En relativt lugn dag, med inte allt för mycket besökare. Tryckande värme på 24 grader, delvis soligt och delvis molnigt, regnet hängde i luften men det blev inte mycket av det. Inte många som bokat till Tidsresorna, till föreställningen kl 13.00 kom 20 personer, varav 7 st barn , kl 14.30 kom 17 personer, varav 4 st barn. Till Olles pyssel på förmiddagen kom 9 barn och 5 vuxna. Vi hade en skolklass från Håstad skola med 15 st. som besökte H. C. Andersen. En fritidsklass från Freinetskolan på 12 st. kom spontant förbi för att leka på lekplatsen och H. C. Andersen.
2024-06-27;Gunnesboskolan var och besökte friluftsmuseet och lekplatsen på egen hand, de var 11 barn och 3 vuxna. Olle höll i dagens pyssel där 7 barn och 5 vuxna deltog. Lekfulla tidsresor har två framföranden idag, på de första deltog 11 vuxna + 7 barn och på de andra deltog 6 vuxna. På Jessikas kvällsvisning av "Människorna i husen" uteblev besökarna.
2024-06-26;Idag har vi haft besök från Folkuniversitetet Kristianstad som gick runt på egen hand, de var 10 personer. Olle hade drop-in pyssel där 9 barn + 8 vuxna deltog. Till dagens lekfulla tidsresa kl 13 kom 10 vuxna + 5 barn. Och till kl 14.30 kom 15 vuxna + 3 barn.
2024-06-25;Uggleskolan var på besök där de gick själva på museet och de skulle även vara med på dagens pyssel, de var 7 barn och 2 vuxna. Olle höll i dagens pyssel där de deltog 14 barn och 7 vuxna. Lekfulla Tidsresor hade sin premiär idag och vid första visningen var det 44 st bokade biljetter och inför andra visningen var 10 st bokade biljetter.
2024-06-24;Denna måndag bjöd på varmt och soligt väder. Lekfulla tidsresor hade sitt sista Genrep inför Kulturens personal. Utöver det var det inget program idag. 
2024-06-23;Lite kallt och molnigt idag, men trots det en hel del besökare. Mycket tyskar, danskar och amerikaner samt medlemmar med familjer. Ola gav en friluftsmuseum introduktion på engelska för 12 besökaren sen visade Gustav 2 tjugotal för 8 pers.
2024-06-22;Lugn förmiddag.. men efter lunch sätter det fart! Mycket turister, främst danskar och amerikanare. Två deltagare på Olas Metropolis visning kl 11. Gustav hade därefter, kl 13, en visning av Friluftsmuseets historia för 1 pers. För övrigt hade det verkligen behövts bokats in städning idag, dagen efter midsommarfirandet. Det var mycket smutsigt och saknades toalettpapper. Många telefonsamtal med frågan om vi verkligen hade öppet idag. 
2024-06-21;Midsommar har bjudit på strålande sol och värme! Lång kö vid gröna grinden, många missade att man även kunde gå in via vita huset. Flera besökare hade med egen picknick eller fikade på kaféet. Mycket bra försäljning i butiken.
2024-06-20;Solig dag med turister som börjar droppa in för säsongen. En konsert med Fanfare Promotion Orchestra Netherlands, 47 musiker som spelade på gräset mellan kaféet och Herrehuset. Tyvärr var det endast en liten skara publik som kom men de gav stora komplimanger i entren efteråt för hur proffsiga de var. Annars ganska lugn dag, endast en bokad visning med Mattias för Malmö Museum samt Ola som visade 2 tjugotals-utställningen för 2 pers. Många frågor på plats och i telefon angående midsommarfirandet, främst om programmet, om man fick at med hundar och angående biljettköp.
2024-06-19;Johanna hade en introduktion till friluftsmuseet för 16 personer från Kultur- och fritidsförvaltningen på Trelleborgs kommun. Montessoriförskolan Tellus lekte på lekplatsen samt fikade i arkitekternas hus, 7 barn och 2 lärare. Christian hade en visning av "Womens Concentration camp" för två personer från Lunds universitet. Gustav visade "Människorna i husen" på engelska för 2 personer. Onsdagsvisning med Mattias som visade 2 tjugotal, 8 personer kom på den.
2024-06-18;En lugn solig tisdag med få bokningar. Hörby Församling, 14 personer kom på morgonen och gick själva. På eftermiddagen kom Sveriges Ridgymnasium (16 personer) och gick en visning med Johanna(JLJ). Många besökare från andra länder. 
2024-06-17;Måndag. Montessoriförskolan Barnens Hus kom 9:30, 9 st, och gick själva runt på museet. Den dagliga verksamheten för dementa "Vårat gäng" (5 vårdtagare och 4 ledsagare) kom kl 11 och gick själva runt på museet. Det har varit ett jämt flöde med besökare, inte stressigt men stabilt för en måndag. 
2024-06-16;En solig söndag. Två skattjaktkalas idag, kl 10:30 i Arkitekternas hus (barn 6 år) för 15 pers samt kl 12:00 i Verkstaden, för 15 pers, (barn fyllde 9 år). Jessica höll i öppen visning kl 11 av Thomanderska huset, 4 deltagare. Inga deltagare idg på Olas visning kl 13, introduktion till friluftsmuseets historiska. Det har varit ett jämt och stabilt flöde i entrén under hela dagen. Sommar teater efter stängning i parken. 
2024-06-15;Full fart denna regniga lördagen framför allt på eftermiddagen. Ingen dök upp till den offentliga visningen av Bosebo kyrka med Ola kl 11. Öppen visning med Jessica kl 12, introduktion till friluftsmuseet, 2 st deltagare. 29 bokade inför Jens Hedhs bokrelease "En glassodyseé" (föredrag i auditoriet). Många köpte biljett till föredraget på plats. Uppskattade antal "spontana" sålda biljett i entrén till cirka 20. Det blev bra drag i entrén och butiken! Många var väldigt nöjda med eventet. Drop-in pyssel i verkstaden med Hanna, tema Tummelisas fjärilar med 17 deltagande barn och 14 vuxna.  
2024-06-14;En solig men lite kylig fredag. Komvux, Lund, SFI, var här. Gick runt själva på museet, tot. 25 st, fri entré. Gustav Olsson höll i tur/föredrag för Rotary (30 st), fri entré. Lärare från Gymnasieskolan Vipan gick runt på museet för att planera besök för elever. Gruppen (6 st) hade fri entré. 
2024-06-13;Östra Grevie folkhögskola besökte oss med 10 personer för att gå runt på egen hand. Livets museum hade möte i Verkstan, de var 30 deltagare. Lunds kommun, vård och omsorgsförvaltning gick en visning av "En annan värld" med Mattias, de var 14 personer. Mattias och Karin visade 2 tjugotal för 7 personer. Ola hade en visning av 2 tjugotal, det kom 10 personer.
2024-06-12;Onsdag. 45 barn inkl pedagoger från Gubbabackens förskola har besökt museet. De gick själva inne på museet. Inställd visning (pga sjukdom) för Lunds kommun, vård-och omsorgsförvaltningen. Gruppen på 8 personer gick runt på egen hand. Allmän visning med Olle E. för konfirmandgrupp (Oppmanna-Vånga församling) 9 barn 3 vuxna. Charlotte hade en visning av "Uppklädd", 10 personer kom på den.
2024-06-11;Lunds Universitet Naturvetenskapliga fakultet har haft möte i auditoriet idag, de var 66 personer. Ängdalaskolor besökte oss med 2 grupper om 30 personer för visning av " Människorna i husen" med Olle och Johanna. Hjärups skola var här för att gå runt på egen hand men främst i HC Andersens lekutställning, de var 54 personer. Pauliskolan besökte oss för att gå runt på egen hand, de tittade på hela museet, de var 10 personer. Lunds Fontänhus var här med 8 personer för att titta på "2 tjugotal".
2024-06-10;Barn- och fritidsprogrammet besökte Kulturen och gick själva bland våra utställningar idag, de var 12 st. Vårfruskolan besökte med Åk4 museet och gick en tipsrunda i parken de hade fått låna utav oss, de var 48 st. Nyvångskolan var här med 4 st olika klasser mellan Åk7-9, Åk9 fick även en visning av Mattias på "2 Tjugotal" - Åk7 28 st, Åk8 21 st+19 st och Åk9 23 st. Olle gick "Människorna i husen" med Åk1 från Freinetskolan, de var 17 st. Efter lunch kom även Västervångsskolan på besök med Åk9, de var 44 st. Kulturcenter Skåne besökte även museet på egen hand, de var idag 8 st. 
2024-06-09;Idag har det varit det varit en bra söndag, inte mycket på schemat men en lagom inströmning av besökare. Gustav hade fm visning (hygien och hälsa), 1 deltagare. Jessica hade em visning (dekanhuset) 5 deltagare. Det har även varit ett kalas under större delen av dagen, ett 50års firande med 24 vuxna samt 13 barn inkl en visning för barnen. 
2024-06-08;I dag hade Gustav en introduktion till friluftsmuseet där 8 personer deltog. Jessica hade en visning av "Människorna i husen, 6 personer kom på den. Drop-in pyssel med Hannah, 21 barn och 21 vuxna. Ute i parken var det allsång med Linda Lundqvist. Gles publik i samband med allsången, få visste om evenemanget. Vi diskuterade om reklam inför evenemanget (på instagram t ex) hade hjälpt att få upp antal deltagare. Vi hade även besök av en stor grupp polska turister som gick runt med egen guide, de var 47 personer samt 4 barn.
2024-06-07;Institutionen för kulturvetenskap och modevetenskap hade Examensceremoni, de var 150 personer.
2024-06-06;Nationaldag idag med fritt inträde. Gratis utdelning av flaggor var mycket populär. Mycket folk kom direkt på förmiddagen, främst barnfamiljer. Jämt flöde med folk hela dagen till 18-tiden då det avtog. Musikevenemang med Malmö Limelight Chorus samt tal av Museichefen och Kommunfullmäktiges ordförande Mats Helmfrid. Högtidstalare Lina Eklund samt konsert med Nanna Carling. Jessica hade bokad visning kl 18 men ingen dök upp idag. 
2024-06-05;En f-klass från Munspelets skola delade upp sig i två grupper, där ena lekte i lekutställningen medan den andra var på lekplatsen, därefter bytes de åt, de var 50 personer. Carl Engströms gymnasiet gick runt på egen hand, lärarna hade förberett en tipspromenad till eleverna, 24 elever och 4 lärare. Gustav hade en allmän visning för 11 personer från Länsförsäkringar Skåne, sällskapet fikade även i kaféet efter visningen. En skola från Trelleborg åk 3 som inte hade bokat gick runt på egen hand, 41 elever och 2 lärare. Onsdagsvisning med Jessica som visade Dekanhuset, till den kom tyvärr ingen.
2024-06-04;Idag hade vi Gullåkraskolan, åk 2 på besök, de var 85 st. som turades om att leka i H. C Andersen och besöka andra utställningar i museet. Åk 3 från Jonstorpsskolan gick själva på museet och de var 63 st. Robin hade en grupp från Projektet Hela dig i Smedjan, de var 8 st. Dösjebroskolan åk 1 gick själva runt på området och var totalt 32 st. Olle hade en visning för 16 elever och 2 lärare från Vig Skole, Danmark, de hade besök från USA. Drottning Blankas Gymnasium var 34 st. som gick runt på hela museet. Anna S hade en visning för en grupp damer från Zonta, de var 25 st. som fick se 2 tjugotal-utställningen, för att sedan fika i kaféet. Under eftermiddagen och kvällen var det Kulturens Årsmöte, med en visning i 2 tjugotal- utställningen (28 st. var med), mötet och eftersist på kaféet. 
2024-06-03;Idag har det varit en händelserik förmiddag och måndag. Vegalyckan skola besökte H. C Andersens sagovärld - 3 st. Carl Engströmsgymnasium gick på museet på egen hand - 11 st. Aleskolan Skurup åk 9 besökte museet på egen hand - 2 st. 
2024-06-02;Jessica visade "Människorna i husen" för 2 personer. Gustav visade "Friluftsmuseet" för 2 personer. Ännu en vacker & varm dag i solen! 
2024-06-01;Lunds Historiedag idag med fri entré till hela Kulturen. Kl 11.00 och kl. 13.00 höll Jessika visningar av Thomanderka huset där båda tiderna var fullbokade. Kl 11.00 höll även Eva Helen Ulvros föredrag där de 120 platserna var fullbokade. Sommarteatern "Nattväktarens hemlighet" höll även ett smakprov inför showerna vid två tillfällen under dagen. På dansbanan var det dansuppvisning med Cadenza vid två tillfällen under dagen. I Trädgårdsrummet var det vid tre tillfällen under dagen författarsamtal med Mårten Ericsson, Göran Larsson och Peter Ullgren. Dagens andra föredrag med Anders Jansson och Daniel Granér, "Skräck i gamla Lund" var också fullbokat. Sista föredraget som hölls idag var "Tyfus, våld, tysta barn och fylla" kl 15.00 med Anders Ödman, alla 120 platser var fullbokade. Utöver Lunds Historiedag var det pyssel med Hanna som pysselvärd där 29 barn och 30 vuxna. Det var även en vigsel på området som avslutades med en egen picknick.
2024-05-31;Idag hade vi Consensum med 11 pers. som gick själva. Seminarieskolan åk 9 hade två visningar med Yvonne och Johanna i friluftsmuseet, de var 60 st. Tora Vega folkhögskola gick själva på 2 tjugotal och En annan värld, de var 8 st. Vegaskolan åk 1 lekte i H. C Andersen och på lekplatsen, de var totalt 48 st. Waldorf kom in spontant och lekte på vår lekplats, de var 20 st. förskoleelever. Vi hade ett studiebesök av Kulturen, bokat av "Se Din Konst", Johanna visade upp bland annat vår lekutställning. Deltagarna från gruppen var 21 st. Under kvällen var det ett mingel för 25 st. i Nordenstedska trädgården, det var en grupp från Salutbatteriet. 
2024-05-30;Delfinskolan besökte lekutställningen med 12 personer. Lunds Universitet Medicinska fakulteten hade möte i Hornsbergssalen med 12 personer. Montessori Bjerred årskurs 2, gick runt i Friluftsparken med 49 personer. Stinsgårdens Förskola besökte lekutställningen och lekplatsen med 12 personer. Region Skåne besökte för att gå runt på egen hand med 10 personer. Lena Hector skulle ha en visning för att hedra Fönsterrenoveringens dag, det var inledningsvis 40 personer som gick med. The World Martime University besökte oss för att gå runt på egen hand, de var 41 personer. EOS Care var här för en visning med Olle endast då de inte blev mer än knappt hälften. De fikade efteråt, de var 24 personer totalt. Jessica hade en visning av Friluftsmuseet för x personer.
2024-05-29;Skånes universitetssjukvård har möte i Hornsbergssalen, de var 17 personer. Tunaskolan besökte oss för att gå runt på egen hand med lärare, de var 27 personer. Lunds Universitet "museologi" besökte oss för att gå på egen hand med 6 personer. Jensens education AB gick en allmän visning med Olle, de var 27 personer. Råbyskolan besökte oss för att leka i HC Andersens sagovärld, de var 26 personer. Svedala Montessoriförskola besökte lekplatsen med 8 personer. Pilen Montessoriskola besökte HC Andersen s sagovärld och lekplatsen med 26 personer. Norrevångskolan "Gladan fritids" besökte HC Andersens sagovärld med 24 personer. Visning av "En annan värld" med Mats, de var 2 personer. Masterstudenter från New York besökte oss för en visning med Monika av "Människorna i husen", de var 13 personer.
2024-05-28;Fågelskolan besökte HC Andersens sagovärld, de var 7 personer. Svartsmide på förmiddagen, bokningen gick via Robin, de var 8 personer. Förskolan Valen Valle besökte en kort stund HC Andersens sagovärld med 12 barn och 2 vuxna. Vägga Gymnasieskola skulle besökte oss och äta medhavd matsäck i Arkitekterna hus, men de dök inte upp. Sölvesborgs kommun gick runt på egen hand, de var 14 personer. Eslövs kommun tävlade i föremålskunskap under en visning med Olle, de var 16 personer. Aktiva Seniorer Växjö gick runt på egen hand för att titta på hela museet, de var 50 personer. Lund University gick en visning "Människorna i husen" med Monika, de var 18 personer. Lund University gick en visning "Människorna i husen" med Jessica, de var 18 personer. Lund University gick en visning "Människorna i husen" med Ola, de var 17 personer. Camurus AB gick en allmän visning på engelska med Monika, de var 26 personer.
2024-05-27;Väderlek med variation idag, sol, regn, åska och sol igen. En hel del glada turister från framförallt USA som kommit för att fira studenter i regionen. Tunaskolan åk 2 kom 27 pers för rundvanding på museet. SFI från Sjöbo kom 21 pers för att få visning av Annika av Människorna i husen. Norrevångskolan/ Gladan Fritids kom 31 pers för att gå själva på HC Andersen. Dagen avslutades med Nils Fredriksson Utbildning med 18 pers som fick visning av Yvonne. 
2024-05-26;Lundasprinten, en orienteringstävling, gick genom Kulturens område idag under förmiddagen. Lunds Spelmansgille höll i Folkmusikens dag och en hel del kom i folkdräkt och/eller med instrument. Vädret klarnade upp lagom till att dansen började.
2024-05-25;BUSkören hade konsert i auditoriet med över 100 personer i publiken. Ola hade en introduktion för 2 personer. Jessica hade en allmän visning samt en introduktion till friluftsmuseet för två privata grupper. Från Lions Club Lomma kom 18 personer som började med fika i kaféet och hade sedan en allmän visning med Hedda. Till pysslet med Victoria kom 6 barn och 6 barn. Arkitekternas hus var bokat för eget kalas, 19 barn och 6 vuxna.
2024-05-24;Invigning av Drottning Blankas utställning i Ystadhuset. Elever, lärare och familjer har kommit under dagen, ca 70 personer. Lena Hector. BEVIS, har bokat för visning, möte och en fika för 24 personer. En grupp elever med lärare från Polen besökte museet på egen hand, 22 personer och en klass, från Lunds Waldorfskola besökte museet, även de 22 stycken. Många utländska studenter och besökare har besökt museet idag, ett engelskt par tillbringade mest hela dagen på Kulturen, tyckte det var helt fantastiskt1
