år;månad;kommun;skolnivå;skolkategori;antal
2017;Maj;;;skola-barn;2642
2017;Maj;;;skola-vuxen;220
2017;Jun;;;skola-barn;1869
2017;Jun;;;skola-vuxen;283
2017;Jul;;;skola-barn;321
2017;Jul;;;skola-vuxen;311
2017;Aug;;;skola-barn;946
2017;Aug;;;skola-vuxen;222
2017;Sep;;;skola-barn;848
2017;Sep;;;skola-vuxen;336
2017;Okt;;;skola-barn;905
2017;Okt;;;skola-vuxen;484
2017;Nov;;;skola-barn;531
2017;Nov;;;skola-vuxen;692
2017;Dec;;;skola-barn;1523
2017;Dec;;;skola-vuxen;294
2018;Jan;;;skola-barn;358
2018;Jan;;;skola-vuxen;116
2018;Feb;;;skola-barn;373
2018;Feb;;;skola-vuxen;253
2018;Mar;;;skola-barn;936
2018;Mar;;;skola-vuxen;369
2018;Apr;;;skola-barn;878
2018;Apr;;;skola-vuxen;296
2018;Maj;;;skola-barn;2035
2018;Maj;;;skola-vuxen;291
2018;Jun;;;skola-barn;1544
2018;Jun;;;skola-vuxen;127
2018;Jul;;;skola-barn;336
2018;Jul;;;skola-vuxen;221
2018;Aug;;;skola-barn;375
2018;Aug;;;skola-vuxen;342
2018;Sep;;;skola-barn;1020
2018;Sep;;;skola-vuxen;267
2018;Okt;;;skola-barn;868
2018;Okt;;;skola-vuxen;500
2018;Nov;Kävlinge;Förskola;skola-barn;20
2018;Nov;Lund;Förskola;skola-barn;129
2018;Nov;Malmö;Förskola;skola-barn;1
2018;Nov;Svedala;Förskola;skola-barn;16
2018;Nov;Hörby;Förskoleklass;skola-barn;15
2018;Nov;Lund;Förskoleklass;skola-barn;54
2018;Nov;Malmö;Förskoleklass;skola-barn;18
2018;Nov;Lund;Gymnasium;skola-barn;256
2018;Nov;Vellinge;Gymnasium;skola-barn;24
2018;Nov;Övrigt;Gymnasium;skola-barn;6
2018;Nov;Kävlinge;Årskurs 1;skola-barn;28
2018;Nov;Lund;Årskurs 1;skola-barn;54
2018;Nov;Hörby;Årskurs 2;skola-barn;16
2018;Nov;Kävlinge;Årskurs 2;skola-barn;26
2018;Nov;Hörby;Årskurs 3;skola-barn;26
2018;Nov;Lomma;Årskurs 3;skola-barn;10
2018;Nov;Lund;Årskurs 3;skola-barn;27
2018;Nov;Kävlinge;Årskurs 4;skola-barn;26
2018;Nov;Lund;Årskurs 4;skola-barn;36
2018;Nov;Malmö;Årskurs 4;skola-barn;46
2018;Nov;Lund;Årskurs 5;skola-barn;8
2018;Nov;Lomma;Årskurs 6;skola-barn;13
2018;Nov;Lund;Årskurs 6;skola-barn;6
2018;Nov;Malmö;Årskurs 6;skola-barn;7
2018;Nov;Lund;Årskurs 8;skola-barn;63
2018;Nov;Lund;Högskola;skola-vuxen;
2018;Nov;Hörby;Vuxenutbildning;skola-vuxen;20
2018;Nov;Lund;Vuxenutbildning;skola-vuxen;282
2018;Nov;Sjöbo;Vuxenutbildning;skola-vuxen;4
2018;Nov;Svedala;Vuxenutbildning;skola-vuxen;16
2018;Nov;Tomelilla;Vuxenutbildning;skola-vuxen;4
2018;Nov;Övrigt;Vuxenutbildning;skola-vuxen;1
2018;Dec;Kävlinge;Förskola;skola-barn;30
2018;Dec;Lomma;Förskola;skola-barn;47
2018;Dec;Lund;Förskola;skola-barn;132
2018;Dec;Staffanstorp;Förskola;skola-barn;1
2018;Dec;Kävlinge;Förskoleklass;skola-barn;23
2018;Dec;Lund;Förskoleklass;skola-barn;181
2018;Dec;Eslöv;Gymnasium;skola-barn;68
2018;Dec;Helsingborg;Gymnasium;skola-barn;24
2018;Dec;Lund;Gymnasium;skola-barn;210
2018;Dec;Malmö;Gymnasium;skola-barn;66
2018;Dec;Lund;Årskurs 1;skola-barn;120
2018;Dec;Staffanstorp;Årskurs 1;skola-barn;29
2018;Dec;Lund;Årskurs 2;skola-barn;82
2018;Dec;Lund;Årskurs 3;skola-barn;85
2018;Dec;Lund;Årskurs 4;skola-barn;37
2018;Dec;Malmö;Årskurs 4;skola-barn;7
2018;Dec;Lund;Årskurs 5;skola-barn;55
2018;Dec;Malmö;Årskurs 5;skola-barn;24
2018;Dec;Övrigt;Årskurs 5;skola-barn;5
2018;Dec;Lund;Årskurs 6;skola-barn;8
2018;Dec;Malmö;Årskurs 6;skola-barn;63
2018;Dec;Skurup;Årskurs 6;skola-barn;30
2018;Dec;Lund;Årskurs 7;skola-barn;1
2018;Dec;Lund;Årskurs 8;skola-barn;34
2018;Dec;Malmö;Årskurs 8;skola-barn;33
2018;Dec;Lund;Högskola;skola-vuxen;
2018;Dec;Ängelholm;Högskola;skola-vuxen;
2018;Dec;Eslöv;Vuxenutbildning;skola-vuxen;55
2018;Dec;Kristianstad;Vuxenutbildning;skola-vuxen;31
2018;Dec;Landskrona;Vuxenutbildning;skola-vuxen;15
2018;Dec;Lund;Vuxenutbildning;skola-vuxen;69
2018;Dec;Malmö;Vuxenutbildning;skola-vuxen;57
2018;Dec;Simrishamn;Vuxenutbildning;skola-vuxen;54
2018;Dec;Ystad;Vuxenutbildning;skola-vuxen;20
2019;Jan;Eslöv;Förskola;skola-barn;1
2019;Jan;Lund;Förskola;skola-barn;121
2019;Jan;Malmö;Förskola;skola-barn;1
2019;Jan;Svedala;Förskola;skola-barn;2
2019;Jan;Eslöv;Förskoleklass;skola-barn;1
2019;Jan;Malmö;Förskoleklass;skola-barn;4
2019;Jan;Lund;Gymnasium;skola-barn;159
2019;Jan;Övrigt;Gymnasium;skola-barn;12
2019;Jan;Lund;Årskurs 1;skola-barn;25
2019;Jan;Lund;Årskurs 2;skola-barn;21
2019;Jan;Malmö;Årskurs 2;skola-barn;48
2019;Jan;Höör;Årskurs 5;skola-barn;1
2019;Jan;Lund;Årskurs 6;skola-barn;40
2019;Jan;Ystad;Årskurs 6;skola-barn;44
2019;Jan;Malmö;Årskurs 8;skola-barn;22
2019;Jan;Hässleholm;Årskurs 9;skola-barn;26
2019;Jan;Lund;Högskola;skola-vuxen;
2019;Jan;Malmö;Högskola;skola-vuxen;
2019;Jan;Kristianstad;Vuxenutbildning;skola-vuxen;9
2019;Jan;Lund;Vuxenutbildning;skola-vuxen;19
2019;Jan;Malmö;Vuxenutbildning;skola-vuxen;11
2019;Feb;Burlöv;Förskola;skola-barn;22
2019;Feb;Helsingborg;Förskola;skola-barn;10
2019;Feb;Lomma;Förskola;skola-barn;14
2019;Feb;Lund;Förskola;skola-barn;305
2019;Feb;Staffanstorp;Förskola;skola-barn;1
2019;Feb;Höör;Förskoleklass;skola-barn;3
2019;Feb;Kävlinge;Förskoleklass;skola-barn;40
2019;Feb;Helsingborg;Gymnasium;skola-barn;12
2019;Feb;Klippan;Gymnasium;skola-barn;27
2019;Feb;Lund;Gymnasium;skola-barn;157
2019;Feb;Eslöv;Årskurs 1;skola-barn;1
2019;Feb;Lund;Årskurs 1;skola-barn;48
2019;Feb;Lund;Årskurs 2;skola-barn;1
2019;Feb;Lund;Årskurs 3;skola-barn;16
2019;Feb;Höör;Årskurs 4;skola-barn;79
2019;Feb;Lund;Årskurs 5;skola-barn;31
2019;Feb;Lund;Årskurs 6;skola-barn;5
2019;Feb;Lund;Årskurs 7;skola-barn;2
2019;Feb;Eslöv;Årskurs 8;skola-barn;16
2019;Feb;Malmö;Årskurs 8;skola-barn;30
2019;Feb;Övrigt;Årskurs 8;skola-barn;50
2019;Feb;Lund;Årskurs 9;skola-barn;1
2019;Feb;Helsingborg;Högskola;skola-vuxen;
2019;Feb;Lund;Högskola;skola-vuxen;
2019;Feb;Malmö;Högskola;skola-vuxen;
2019;Feb;Burlöv;Vuxenutbildning;skola-vuxen;15
2019;Feb;Helsingborg;Vuxenutbildning;skola-vuxen;17
2019;Feb;Hässleholm;Vuxenutbildning;skola-vuxen;6
2019;Feb;Lund;Vuxenutbildning;skola-vuxen;181
2019;Feb;Malmö;Vuxenutbildning;skola-vuxen;41
2019;Feb;Ängelholm;Vuxenutbildning;skola-vuxen;9
2019;Mar;Lund;Förskola;skola-barn;271
2019;Mar;Lund;Förskoleklass;skola-barn;123
2019;Mar;Lund;Gymnasium;skola-barn;156
2019;Mar;Malmö;Gymnasium;skola-barn;49
2019;Mar;Kävlinge;Årskurs 1;skola-barn;28
2019;Mar;Lund;Årskurs 1;skola-barn;136
2019;Mar;Eslöv;Årskurs 2;skola-barn;33
2019;Mar;Lund;Årskurs 2;skola-barn;18
2019;Mar;Malmö;Årskurs 2;skola-barn;6
2019;Mar;Lund;Årskurs 3;skola-barn;8
2019;Mar;Båstad;Årskurs 4;skola-barn;34
2019;Mar;Lund;Årskurs 4;skola-barn;24
2019;Mar;Lund;Årskurs 5;skola-barn;73
2019;Mar;Malmö;Årskurs 5;skola-barn;24
2019;Mar;Lund;Årskurs 6;skola-barn;11
2019;Mar;Malmö;Årskurs 7;skola-barn;7
2019;Mar;Klippan;Årskurs 8;skola-barn;4
2019;Mar;Lomma;Årskurs 8;skola-barn;32
2019;Mar;Klippan;Årskurs 9;skola-barn;4
2019;Mar;Lund;Årskurs 9;skola-barn;26
2019;Mar;Lund;Högskola;skola-vuxen;
2019;Mar;Övrigt;Högskola;skola-vuxen;
2019;Mar;Eslöv;Vuxenutbildning;skola-vuxen;18
2019;Mar;Kristianstad;Vuxenutbildning;skola-vuxen;1
2019;Mar;Lund;Vuxenutbildning;skola-vuxen;263
2019;Mar;Malmö;Vuxenutbildning;skola-vuxen;37
2019;Mar;Ängelholm;Vuxenutbildning;skola-vuxen;15
2019;Mar;Övrigt;Vuxenutbildning;skola-vuxen;61
2019;Apr;Lund;Förskola;skola-barn;296
2019;Apr;Malmö;Förskola;skola-barn;26
2019;Apr;Svedala;Förskola;skola-barn;14
2019;Apr;Eslöv;Förskoleklass;skola-barn;20
2019;Apr;Kävlinge;Förskoleklass;skola-barn;26
2019;Apr;Staffanstorp;Förskoleklass;skola-barn;74
2019;Apr;Hörby;Gymnasium;skola-barn;13
