år;månad;besöksmål;typ;kategori;antal
2011;nov;kulturenilund;verksamhet;pensionär;481
2011;nov;kulturenilund;verksamhet;medlem;1467
2011;nov;kulturenilund;verksamhet;grupp;326
2011;dec;kulturenilund;verksamhet;vuxen;734
2011;dec;kulturenilund;verksamhet;konferens;114
2011;dec;kulturenilund;verksamhet;student;166
2011;dec;kulturenilund;verksamhet;barn;498
2011;dec;kulturenilund;verksamhet;rabatt;23
2011;dec;kulturenilund;verksamhet;fri-vuxen;72
2011;dec;kulturenilund;verksamhet;skola-allt;1591
2011;dec;kulturenilund;verksamhet;pensionär;127
2011;dec;kulturenilund;verksamhet;medlem;301
2011;dec;kulturenilund;verksamhet;grupp;146
2012;jan;kulturenilund;verksamhet;vuxen;684
2012;jan;kulturenilund;verksamhet;konferens;949
2012;jan;kulturenilund;verksamhet;student;158
2012;jan;kulturenilund;verksamhet;barn;414
2012;jan;kulturenilund;verksamhet;rabatt;33
2012;jan;kulturenilund;verksamhet;fri-vuxen;111
2012;jan;kulturenilund;verksamhet;skola-allt;604
2012;jan;kulturenilund;verksamhet;pensionär;168
2012;jan;kulturenilund;verksamhet;medlem;275
2012;jan;kulturenilund;verksamhet;grupp;56
2012;feb;kulturenilund;verksamhet;vuxen;592
2012;feb;kulturenilund;verksamhet;konferens;249
2012;feb;kulturenilund;verksamhet;student;172
2012;feb;kulturenilund;verksamhet;barn;389
2012;feb;kulturenilund;verksamhet;rabatt;43
2012;feb;kulturenilund;verksamhet;fri-vuxen;192
2012;feb;kulturenilund;verksamhet;skola-allt;706
2012;feb;kulturenilund;verksamhet;pensionär;223
2012;feb;kulturenilund;verksamhet;medlem;273
2012;feb;kulturenilund;verksamhet;grupp;66
2012;mar;kulturenilund;verksamhet;vuxen;602
2012;mar;kulturenilund;verksamhet;konferens;655
2012;mar;kulturenilund;verksamhet;student;206
2012;mar;kulturenilund;verksamhet;barn;357
2012;mar;kulturenilund;verksamhet;rabatt;40
2012;mar;kulturenilund;verksamhet;fri-vuxen;183
2012;mar;kulturenilund;verksamhet;skola-allt;1172
2012;mar;kulturenilund;verksamhet;pensionär;239
2012;mar;kulturenilund;verksamhet;medlem;316
2012;mar;kulturenilund;verksamhet;grupp;39
2012;apr;kulturenilund;verksamhet;vuxen;1444
2012;apr;kulturenilund;verksamhet;konferens;898
2012;apr;kulturenilund;verksamhet;student;285
2012;apr;kulturenilund;verksamhet;barn;1643
2012;apr;kulturenilund;verksamhet;rabatt;49
2012;apr;kulturenilund;verksamhet;fri-vuxen;168
2012;apr;kulturenilund;verksamhet;skola-allt;1254
2012;apr;kulturenilund;verksamhet;pensionär;281
2012;apr;kulturenilund;verksamhet;medlem;394
2012;apr;kulturenilund;verksamhet;grupp;223
2012;maj;kulturenilund;verksamhet;vuxen;1548
2012;maj;kulturenilund;verksamhet;konferens;864
2012;maj;kulturenilund;verksamhet;student;251
2012;maj;kulturenilund;verksamhet;barn;1680
2012;maj;kulturenilund;verksamhet;rabatt;40
2012;maj;kulturenilund;verksamhet;fri-vuxen;404
2012;maj;kulturenilund;verksamhet;skola-allt;3243
2012;maj;kulturenilund;verksamhet;pensionär;425
2012;maj;kulturenilund;verksamhet;medlem;456
2012;maj;kulturenilund;verksamhet;grupp;153
2012;jun;kulturenilund;verksamhet;vuxen;1905
2012;jun;kulturenilund;verksamhet;konferens;0
2012;jun;kulturenilund;verksamhet;student;421
2012;jun;kulturenilund;verksamhet;barn;2119
2012;jun;kulturenilund;verksamhet;rabatt;71
2012;jun;kulturenilund;verksamhet;fri-vuxen;1445
2012;jun;kulturenilund;verksamhet;skola-allt;1659
2012;jun;kulturenilund;verksamhet;pensionär;654
2012;jun;kulturenilund;verksamhet;medlem;564
2012;jun;kulturenilund;verksamhet;grupp;337
2012;jul;kulturenilund;verksamhet;vuxen;3476
2012;jul;kulturenilund;verksamhet;konferens;0
2012;jul;kulturenilund;verksamhet;student;383
2012;jul;kulturenilund;verksamhet;barn;3900
2012;jul;kulturenilund;verksamhet;rabatt;123
2012;jul;kulturenilund;verksamhet;fri-vuxen;270
2012;jul;kulturenilund;verksamhet;skola-allt;426
2012;jul;kulturenilund;verksamhet;pensionär;938
2012;jul;kulturenilund;verksamhet;medlem;572
2012;jul;kulturenilund;verksamhet;grupp;25
2012;aug;kulturenilund;verksamhet;vuxen;2010
2012;aug;kulturenilund;verksamhet;konferens;177
2012;aug;kulturenilund;verksamhet;student;298
2012;aug;kulturenilund;verksamhet;barn;2396
2012;aug;kulturenilund;verksamhet;rabatt;79
2012;aug;kulturenilund;verksamhet;fri-vuxen;229
2012;aug;kulturenilund;verksamhet;skola-allt;477
2012;aug;kulturenilund;verksamhet;pensionär;578
2012;aug;kulturenilund;verksamhet;medlem;427
2012;aug;kulturenilund;verksamhet;grupp;10
2012;sep;kulturenilund;verksamhet;vuxen;905
2012;sep;kulturenilund;verksamhet;konferens;925
2012;sep;kulturenilund;verksamhet;student;196
2012;sep;kulturenilund;verksamhet;barn;794
2012;sep;kulturenilund;verksamhet;rabatt;20
2012;sep;kulturenilund;verksamhet;fri-vuxen;2700
2012;sep;kulturenilund;verksamhet;skola-allt;1098
2012;sep;kulturenilund;verksamhet;pensionär;339
2012;sep;kulturenilund;verksamhet;medlem;259
2012;sep;kulturenilund;verksamhet;grupp;81
2012;okt;kulturenilund;verksamhet;vuxen;1004
2012;okt;kulturenilund;verksamhet;konferens;662
2012;okt;kulturenilund;verksamhet;student;187
2012;okt;kulturenilund;verksamhet;barn;1250
2012;okt;kulturenilund;verksamhet;rabatt;33
2012;okt;kulturenilund;verksamhet;fri-vuxen;456
2012;okt;kulturenilund;verksamhet;skola-allt;1483
2012;okt;kulturenilund;verksamhet;pensionär;267
2012;okt;kulturenilund;verksamhet;medlem;220
2012;okt;kulturenilund;verksamhet;grupp;275
2012;nov;kulturenilund;verksamhet;vuxen;1017
2012;nov;kulturenilund;verksamhet;konferens;190
2012;nov;kulturenilund;verksamhet;student;178
2012;nov;kulturenilund;verksamhet;barn;1050
2012;nov;kulturenilund;verksamhet;rabatt;27
2012;nov;kulturenilund;verksamhet;fri-vuxen;180
2012;nov;kulturenilund;verksamhet;skola-allt;1934
2012;nov;kulturenilund;verksamhet;pensionär;206
2012;nov;kulturenilund;verksamhet;medlem;234
2012;nov;kulturenilund;verksamhet;grupp;226
2012;dec;kulturenilund;verksamhet;vuxen;3907
2012;dec;kulturenilund;verksamhet;konferens;300
2012;dec;kulturenilund;verksamhet;student;1075
2012;dec;kulturenilund;verksamhet;barn;2885
2012;dec;kulturenilund;verksamhet;rabatt;36
2012;dec;kulturenilund;verksamhet;fri-vuxen;221
2012;dec;kulturenilund;verksamhet;skola-allt;1815
2012;dec;kulturenilund;verksamhet;pensionär;643
2012;dec;kulturenilund;verksamhet;medlem;1682
2012;dec;kulturenilund;verksamhet;grupp;124
2013;jan;kulturenilund;verksamhet;vuxen;1050
2013;jan;kulturenilund;verksamhet;konferens;565
2013;jan;kulturenilund;verksamhet;student;143
2013;jan;kulturenilund;verksamhet;barn;912
2013;jan;kulturenilund;verksamhet;rabatt;23
2013;jan;kulturenilund;verksamhet;fri-vuxen;194
2013;jan;kulturenilund;verksamhet;skola-allt;350
2013;jan;kulturenilund;verksamhet;pensionär;138
2013;jan;kulturenilund;verksamhet;medlem;280
2013;jan;kulturenilund;verksamhet;grupp;0
2013;feb;kulturenilund;verksamhet;vuxen;489
2013;feb;kulturenilund;verksamhet;konferens;283
2013;feb;kulturenilund;verksamhet;student;151
2013;feb;kulturenilund;verksamhet;barn;692
2013;feb;kulturenilund;verksamhet;rabatt;17
2013;feb;kulturenilund;verksamhet;fri-vuxen;289
2013;feb;kulturenilund;verksamhet;skola-allt;670
2013;feb;kulturenilund;verksamhet;pensionär;151
2013;feb;kulturenilund;verksamhet;medlem;201
2013;feb;kulturenilund;verksamhet;grupp;23
2013;mar;kulturenilund;verksamhet;vuxen;745
2013;mar;kulturenilund;verksamhet;konferens;211
2013;mar;kulturenilund;verksamhet;student;214
2013;mar;kulturenilund;verksamhet;barn;760
2013;mar;kulturenilund;verksamhet;rabatt;30
2013;mar;kulturenilund;verksamhet;fri-vuxen;222
2013;mar;kulturenilund;verksamhet;skola-allt;1271
2013;mar;kulturenilund;verksamhet;pensionär;234
2013;mar;kulturenilund;verksamhet;medlem;385
2013;mar;kulturenilund;verksamhet;grupp;46
2013;apr;kulturenilund;verksamhet;vuxen;636
2013;apr;kulturenilund;verksamhet;konferens;717
2013;apr;kulturenilund;verksamhet;student;161
2013;apr;kulturenilund;verksamhet;barn;418
2013;apr;kulturenilund;verksamhet;rabatt;34
2013;apr;kulturenilund;verksamhet;fri-vuxen;411
2013;apr;kulturenilund;verksamhet;skola-allt;1972
2013;apr;kulturenilund;verksamhet;pensionär;289
2013;apr;kulturenilund;verksamhet;medlem;340
2013;apr;kulturenilund;verksamhet;grupp;75
2013;maj;kulturenilund;verksamhet;vuxen;2559
2013;maj;kulturenilund;verksamhet;konferens;450
2013;maj;kulturenilund;verksamhet;student;233
2013;maj;kulturenilund;verksamhet;barn;767
2013;maj;kulturenilund;verksamhet;rabatt;57
2013;maj;kulturenilund;verksamhet;fri-vuxen;423
2013;maj;kulturenilund;verksamhet;skola-allt;2315
2013;maj;kulturenilund;verksamhet;pensionär;414
2013;maj;kulturenilund;verksamhet;medlem;485
2013;maj;kulturenilund;verksamhet;grupp;179
2013;jun;kulturenilund;verksamhet;vuxen;1604
2013;jun;kulturenilund;verksamhet;konferens;0
2013;jun;kulturenilund;verksamhet;student;471
2013;jun;kulturenilund;verksamhet;barn;1633
2013;jun;kulturenilund;verksamhet;rabatt;64
2013;jun;kulturenilund;verksamhet;fri-vuxen;2472
2013;jun;kulturenilund;verksamhet;skola-allt;1293
2013;jun;kulturenilund;verksamhet;pensionär;700
2013;jun;kulturenilund;verksamhet;medlem;606
2013;jun;kulturenilund;verksamhet;grupp;221
2013;jul;kulturenilund;verksamhet;vuxen;2037
2013;jul;kulturenilund;verksamhet;konferens;0
2013;jul;kulturenilund;verksamhet;student;256
2013;jul;kulturenilund;verksamhet;barn;1518
2013;jul;kulturenilund;verksamhet;rabatt;117
2013;jul;kulturenilund;verksamhet;fri-vuxen;158
2013;jul;kulturenilund;verksamhet;skola-allt;411
2013;jul;kulturenilund;verksamhet;pensionär;821
2013;jul;kulturenilund;verksamhet;medlem;424
2013;jul;kulturenilund;verksamhet;grupp;111
2013;aug;kulturenilund;verksamhet;vuxen;1781
2013;aug;kulturenilund;verksamhet;konferens;70
2013;aug;kulturenilund;verksamhet;student;329
2013;aug;kulturenilund;verksamhet;barn;1287
2013;aug;kulturenilund;verksamhet;rabatt;75
2013;aug;kulturenilund;verksamhet;fri-vuxen;168
2013;aug;kulturenilund;verksamhet;skola-allt;760
2013;aug;kulturenilund;verksamhet;pensionär;582
2013;aug;kulturenilund;verksamhet;medlem;429
2013;aug;kulturenilund;verksamhet;grupp;35
2013;sep;kulturenilund;verksamhet;vuxen;560
2013;sep;kulturenilund;verksamhet;konferens;705
2013;sep;kulturenilund;verksamhet;student;124
2013;sep;kulturenilund;verksamhet;barn;280
2013;sep;kulturenilund;verksamhet;rabatt;12
2013;sep;kulturenilund;verksamhet;fri-vuxen;1681
2013;sep;kulturenilund;verksamhet;skola-allt;1183
2013;sep;kulturenilund;verksamhet;pensionär;272
2013;sep;kulturenilund;verksamhet;medlem;192
2013;sep;kulturenilund;verksamhet;grupp;70
